NOM,ADRECA,CATEGORIA,TIPUS,DESCRIPCIO,WKT,LAT,LNG
"Farmàcia Ruiz-Carrillo","Carrer de Pedro Antonio de Alarcón 41. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h.","POINT (2.44866114025662 41.5441636150333)","41.5441636150333","2.44866114025662"
"Farmàcia de l'Havana","Camí Ral 110. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h.","POINT (2.45273290117609 41.5408130426393)","41.5408130426393","2.45273290117609"
"Farmàcia Masjuan","Ronda de Jaume Ferran 28. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.43676584184608 41.5484522150368)","41.5484522150368","2.43676584184608"
"Farmàcia Mancho","La Riera 10. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 8:00 a 22:00h ","POINT (2.44499867359543 41.5386216420221)","41.5386216420221","2.44499867359543"
"Farmàcia Majoral","Carrer de La Boixa 1. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.42930581137514 41.547080304132)","41.547080304132","2.42930581137514"
"Parafarmàcia - Farmafree II","Carrer d'Estrasburg 5. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","Parafarmàcia","POINT (2.43444460137446 41.5543028548735)","41.5543028548735","2.43444460137446"
"Farmàcia Sañez-Pérez","Carrer de la Creu Roja 3. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 13:30h i de 16:30h a 20:30h. ","POINT (2.4412321870886 41.5487866418548)","41.5487866418548","2.4412321870886"
"Farmàcia Ruiz-Carrillo Fité","Ronda de la Roca Blanca 1. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.42928416351033 41.5433837143846)","41.5433837143846","2.42928416351033"
"Naturfarma","Camí Ral 123. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","Parafarmàcia","POINT (2.45234849110276 41.5406119888088)","41.5406119888088","2.45234849110276"
"Farmàcia Parc Central","Ronda d'Alfons X el Savi 18. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a diumenges de 9:00h a 22:00h","POINT (2.4436535103918 41.5451185686418)","41.5451185686418","2.4436535103918"
"Farmàcia Soriano","Carrer de Juan Sebastián Elcano 2. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a diumenges de 9:00h a 22:00h","POINT (2.435829801543 41.5360888877241)","41.5360888877241","2.435829801543"
"Farmàcia de la Peña","La Rambla 16. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a diumenges de 9:00h a 22:00h","POINT (2.44418409510273 41.5374354689708)","41.5374354689708","2.44418409510273"
"Farmàcia Serrano","Ronda de Leopoldo O'donnell 102. Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 13:30h i de 16:30h a 20:30h.","POINT (2.43521801917037 41.5402923755759)","41.5402923755759","2.43521801917037"
"Farmàcia Roca","Carrer Nou 1. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 8:30h a 20:30h. Dissabtes alterns de 9:00h a 13:30h i de 17:00h a 20:30h","POINT (2.44434364002969 41.5408904048498)","41.5408904048498","2.44434364002969"
"Farmàcia Barberà","Carrer de la Gatassa 10. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.42545393642396 41.5407187650984)","41.5407187650984","2.42545393642396"
"Farmàcia Nogueras","Carrer de las Siete Partidas 79. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.45384334480679 41.5459749197476)","41.5459749197476","2.45384334480679"
"Farmàcia Olivé-Gatassa","Avinguda de la Gatassa 71. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. ","POINT (2.42774105874041 41.5377185579744)","41.5377185579744","2.42774105874041"
"Farmàcia Via","Carrer de Josep Punsola 16. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.45105580782419 41.5480507635679)","41.5480507635679","2.45105580782419"
"Farmàcia Romances","Ronda de Josep Tarradellas 32. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.42144037132076 41.5368126914054)","41.5368126914054","2.42144037132076"
"Farmàcia Ferré","Ronda de Francesc Macià 61. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 13:30h i de 16:30h a 20:30h.","POINT (2.43630212205451 41.5343631839818)","41.5343631839818","2.43630212205451"
"Farmàcia Farré Espar","Carrer d'Esteve Albert 43. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 13:30h i de 16:30h a 20:30h. ","POINT (2.43505965127652 41.5445123558058)","41.5445123558058","2.43505965127652"
